x,y,FRE_PROVINCE_NAME,HEATING_DEGREE_DAYS,STATION_NAME,NORMAL_SUNSHINE,SNOW_ON_GROUND_LAST_DAY,NORMAL_PRECIPITATION,ID,DAYS_WITH_VALID_MEAN_TEMP,DAYS_WITH_VALID_SUNSHINE,LOCAL_DATE,MIN_TEMPERATURE,NORMAL_SNOWFALL,ENG_PROVINCE_NAME,LATITUDE,LAST_UPDATED,DAYS_WITH_VALID_SNOWFALL,DAYS_WITH_VALID_PRECIP,LOCAL_MONTH,MEAN_TEMPERATURE,TOTAL_PRECIPITATION,COOLING_DEGREE_DAYS,NORMAL_MEAN_TEMPERATURE,PROVINCE_CODE,LOCAL_YEAR,TOTAL_SNOWFALL,BRIGHT_SUNSHINE,DAYS_WITH_VALID_MAX_TEMP,DAYS_WITH_PRECIP_GE_1MM,CLIMATE_IDENTIFIER,DAYS_WITH_VALID_MIN_TEMP,MAX_TEMPERATURE,LONGITUDE
-101.05,50.43333333333333,MANITOBA,34,BIRTLE,,0,,3469.1997.6,30,,1997-06,4.5,,MANITOBA,50.433,2014-07-31 11:50:58,30,30,6,18.316666666666666,52.2,43.5,,MB,1997,0,,30,9,5010240,30,32.5,-101.050
-101.05,50.43333333333333,MANITOBA,25.1,BIRTLE,,0,,3469.1997.7,26,,1997-07,5.5,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,7,19.99230769230769,42.6,76.9,,MB,1997,0,,27,5,5010240,28,32.5,-101.050
-101.05,50.43333333333333,MANITOBA,29.6,BIRTLE,,0,,3469.1997.8,9,,1997-08,3,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,8,14.877777777777778,59.6,1.5,,MB,1997,0,,11,6,5010240,12,36,-101.050
-101.05,50.43333333333333,MANITOBA,121.2,BIRTLE,,0,,3469.1997.9,30,,1997-09,-3,,MANITOBA,50.433,2014-07-31 11:50:58,30,30,9,14.12,18,4.8,,MB,1997,0,,30,4,5010240,30,30.5,-101.050
-101.05,50.43333333333333,MANITOBA,179.7,BIRTLE,,0,,3469.1998.5,31,,1998-05,-3,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,5,12.251612903225807,77.4,1.5,,MB,1998,0,,31,5,5010240,31,29,-101.050
-101.05,50.43333333333333,MANITOBA,108.4,BIRTLE,,0,,3469.1998.6,30,,1998-06,-2,,MANITOBA,50.433,2014-07-31 11:50:58,30,30,6,14.683333333333334,243.2,8.9,,MB,1998,0,,30,13,5010240,30,29,-101.050
-101.05,50.43333333333333,MANITOBA,18.7,BIRTLE,,0,,3469.1998.7,31,,1998-07,8,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,7,19.06451612903226,125,51.7,,MB,1998,0,,31,12,5010240,31,32,-101.050
-101.05,50.43333333333333,MANITOBA,9.2,BIRTLE,,0,,3469.1998.8,31,,1998-08,5.5,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,8,19.858064516129033,75.2,66.8,,MB,1998,0,,31,10,5010240,31,31.5,-101.050
-101.05,50.43333333333333,MANITOBA,126.2,BIRTLE,,0,,3469.1998.9,30,,1998-09,0,,MANITOBA,50.433,2014-07-31 11:50:58,30,30,9,14.156666666666666,79.4,10.9,,MB,1998,0,,30,4,5010240,30,31.5,-101.050
-101.05,50.43333333333333,MANITOBA,189.4,BIRTLE,,3,,3469.1999.12,9,,1999-12,-12,,MANITOBA,50.433,2014-07-31 11:50:58,31,31,12,-3.0444444444444443,3,0,,MB,1999,3,,10,2,5010240,9,6.5,-101.050
